participant_id	age	gender	exclude	notes
sub-006	22	1	n/a	n/a
sub-007	29	1	n/a	n/a
sub-008	23	2	n/a	n/a
sub-009	18	1	n/a	n/a
sub-010	20	1	1	noisy data
sub-011	57	2	1	noisy data
sub-012	26	2	1	missing last 64/360 trials due to tech issues 
sub-013	27	2	n/a	n/a
sub-014	20	1	n/a	n/a
sub-015	20	1	n/a	n/a
sub-016	22	1	n/a	n/a
sub-017	27	2	n/a	n/a
sub-018	41	1	n/a	n/a
sub-019	20	2	n/a	n/a
sub-020	26	1	n/a	n/a
sub-021	21	1	n/a	n/a
sub-022	22	2	n/a	n/a
sub-023	35	1	n/a	n/a
sub-024	20	1	n/a	n/a
sub-025	34	1	n/a	n/a
sub-026	18	1	n/a	n/a
sub-027	26	2	1	high incongruence between categorisation responses and continuous ratings
sub-028	24	1	n/a	n/a
sub-029	32	1	n/a	n/a
sub-030	27	2	n/a	n/a
sub-031	30	1	n/a	n/a
sub-032	23	1	n/a	n/a
sub-033	30	1	n/a	n/a
sub-034	35	2	n/a	n/a
sub-035	22	1	n/a	n/a
sub-036	57	2	n/a	n/a
sub-037	36	2	n/a	n/a
sub-038	26	2	n/a	n/a
sub-039	27	2	1	noisy data
sub-040	51	1	n/a	n/a
sub-041	22	1	n/a	n/a
sub-042	30	2	n/a	n/a
sub-043	33	1	n/a	n/a
sub-044	39	2	n/a	n/a
sub-045	36	1	n/a	n/a
sub-046	18	2	n/a	n/a
sub-047	22	1	n/a	n/a
sub-048	49	1	n/a	n/a
sub-049	18	2	n/a	n/a
sub-050	24	1	1	noisy data
sub-051	23	1	n/a	n/a
sub-052	20	1	n/a	n/a
sub-053	29	1	n/a	n/a
sub-054	23	1	n/a	n/a
sub-055	56	2	n/a	n/a
sub-056	20	1	n/a	n/a
sub-057	25	1	n/a	n/a
sub-058	30	1	n/a	n/a
sub-059	21	1	n/a	n/a
sub-060	25	1	n/a	n/a
sub-061	18	1	n/a	n/a
sub-062	23	1	n/a	n/a
sub-063	23	1	n/a	n/a
sub-064	19	2	n/a	n/a
sub-065	28	1	n/a	n/a
sub-066	27	3	n/a	n/a
sub-067	24	2	n/a	n/a
sub-068	19	1	n/a	n/a
sub-069	51	2	n/a	n/a
sub-070	26	1	n/a	n/a
sub-071	23	1	n/a	n/a
sub-072	22	1	n/a	n/a
sub-073	26	1	n/a	n/a
sub-074	24	2	n/a	n/a
sub-075	37	1	n/a	n/a
sub-076	36	1	n/a	n/a
sub-077	18	1	n/a	n/a
sub-078	26	2	n/a	n/a
sub-079	25	1	n/a	n/a
sub-080	38	2	n/a	n/a
sub-081	23	1	n/a	n/a
sub-082	30	1	n/a	n/a
sub-083	44	1	n/a	n/a
sub-084	18	1	n/a	n/a
sub-085	18	1	n/a	n/a
sub-086	24	1	n/a	n/a
sub-087	19	1	n/a	n/a
sub-088	32	1	n/a	n/a
sub-089	24	1	n/a	n/a
sub-090	30	2	n/a	n/a
sub-091	18	1	n/a	n/a
sub-092	23	2	n/a	n/a
sub-093	18	1	n/a	n/a
sub-094	29	1	n/a	n/a
sub-095	29	2	n/a	n/a
sub-096	31	1	1	high incongruence between categorisation responses and continuous ratings
sub-097	24	1	n/a	n/a
sub-098	20	1	n/a	n/a
sub-099	20	1	n/a	n/a
sub-100	21	1	n/a	n/a
sub-101	26	1	n/a	n/a
sub-102	30	1	n/a	n/a
sub-103	20	1	n/a	n/a
sub-104	18	1	n/a	n/a
sub-105	26	1	n/a	recording in 2 parts due to tech issues, separated into two sessions 
sub-106	18	1	n/a	n/a
sub-107	20	2	n/a	n/a
sub-108	22	1	n/a	n/a
sub-109	21	1	n/a	n/a
sub-110	29	1	n/a	n/a
sub-111	31	2	n/a	n/a
sub-112	22	1	n/a	n/a
sub-113	20	1	n/a	n/a
sub-114	24	1	n/a	n/a
sub-115	19	1	n/a	n/a
sub-116	25	1	n/a	n/a
sub-117	27	1	n/a	n/a
sub-118	24	1	n/a	n/a
sub-119	38	1	n/a	n/a
sub-120	22	2	n/a	n/a
sub-121	33	1	n/a	n/a
sub-122	31	2	n/a	n/a
